,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,tensor(-0.03740740),tensor(-0.02978595),tensor(-0.01995909),tensor(0.00098748),tensor(-0.02872886),tensor(-0.01022285),tensor(-0.01726187),tensor(-0.02621625),tensor(-0.03002152),tensor(-0.02528374),tensor(0.02722329),tensor(-0.03139684),tensor(-0.02971290),tensor(-0.02611378),tensor(-0.03583743),tensor(-0.03441551),tensor(-0.05247970)
1,tensor(-0.03945327),tensor(-0.02629960),tensor(-0.01724246),tensor(0.00152245),tensor(-0.01983345),tensor(-0.00180940),tensor(-0.01908825),tensor(-0.02896917),tensor(-0.03356721),tensor(-0.02899144),tensor(0.02297452),tensor(-0.03191728),tensor(-0.02901429),tensor(-0.02878780),tensor(-0.03753283),tensor(-0.03470473),tensor(-0.05338264)
2,tensor(-0.04092925),tensor(-0.02044582),tensor(-0.01890101),tensor(0.00103235),tensor(-0.00824006),tensor(-0.00343047),tensor(-0.01785569),tensor(-0.02765606),tensor(-0.03279866),tensor(-0.02658207),tensor(0.01866463),tensor(-0.03395700),tensor(-0.03172174),tensor(-0.02893445),tensor(-0.03643754),tensor(-0.03280301),tensor(-0.06163600)
3,tensor(-0.04161299),tensor(-0.01033244),tensor(-0.02337473),tensor(0.00152412),tensor(0.00570048),tensor(-0.01402150),tensor(-0.00718275),tensor(-0.00619060),tensor(-0.02066978),tensor(-0.02007704),tensor(0.01104329),tensor(-0.03422163),tensor(-0.02248666),tensor(-0.01507526),tensor(-0.02730910),tensor(-0.02269032),tensor(-0.05968909)
4,tensor(-0.03408278),tensor(-0.01084809),tensor(-0.01797309),tensor(-0.00705764),tensor(-0.00326889),tensor(-0.00633229),tensor(-0.00109415),tensor(0.00441559),tensor(-0.00519183),tensor(-0.01178868),tensor(-0.00088162),tensor(-0.02305235),tensor(-0.01466123),tensor(0.00145318),tensor(-0.00924596),tensor(-0.00815308),tensor(-0.04271172)
5,tensor(-0.03607422),tensor(-0.00429780),tensor(-0.01891081),tensor(-0.00662161),tensor(-0.00143234),tensor(-0.01664661),tensor(0.00021777),tensor(0.00860271),tensor(-0.00055659),tensor(-0.00211551),tensor(-0.00077580),tensor(-0.02431891),tensor(-0.01635654),tensor(0.00915259),tensor(-0.00258684),tensor(-0.00070840),tensor(-0.03496832)
6,tensor(0.00332831),tensor(0.00330442),tensor(-0.01059571),tensor(-0.00798718),tensor(-0.00067145),tensor(-0.00343701),tensor(-0.00603382),tensor(-0.01140048),tensor(-0.01278036),tensor(0.00800490),tensor(0.00011837),tensor(-0.00786793),tensor(-0.00421784),tensor(-0.00869506),tensor(-0.01133767),tensor(-0.00841202),tensor(-0.00525687)
7,tensor(0.00959266),tensor(0.00540069),tensor(-0.00380291),tensor(-0.00518646),tensor(0.00205379),tensor(-0.00019182),tensor(-0.00615748),tensor(-0.01109753),tensor(-0.01020384),tensor(0.01303529),tensor(-0.00106417),tensor(-0.00489567),tensor(-0.00022692),tensor(-0.00228249),tensor(-0.00081047),tensor(0.00163127),tensor(-0.01065627)
8,tensor(-0.00517950),tensor(-0.00137393),tensor(-0.01215303),tensor(-0.00740492),tensor(-0.00074031),tensor(-0.00542392),tensor(0.00314638),tensor(-0.00035498),tensor(0.00142057),tensor(0.00457961),tensor(-0.00207263),tensor(-0.00383447),tensor(-0.00493539),tensor(-0.00858230),tensor(-0.01025860),tensor(-0.00661285),tensor(-0.00466385)
9,tensor(-0.02129371),tensor(-0.00712257),tensor(-0.01468425),tensor(-0.00039835),tensor(-0.00094333),tensor(-0.00682126),tensor(-0.01437838),tensor(-0.01989434),tensor(-0.01855868),tensor(-0.00232881),tensor(-0.00425528),tensor(-0.02312953),tensor(-0.01780982),tensor(-0.01949156),tensor(-0.02205439),tensor(-0.01707100),tensor(-0.03266792)
