,0
0,14.366236
1,14.229796
2,14.080916
3,13.942649
4,13.8084345
5,13.696291
6,13.60649
7,13.522126
8,13.449135
9,13.391203
10,13.343819
11,13.30838
12,13.282023
13,13.26154
14,13.244349
15,13.227427
16,13.211925
17,13.195369
18,13.17543
19,13.155771
20,13.134014
21,13.107928
22,13.082276
23,13.054587
24,13.022407
25,12.99107
26,12.958004
27,12.920689
28,12.884636
29,12.847178
30,12.805489
31,12.765449
32,12.724303
33,12.68002
34,12.637717
35,12.594557
36,12.54745
37,12.50274
38,12.457476
39,12.409813
40,12.364778
41,12.319402
42,12.270658
43,12.224974
44,12.179278
45,12.1304865
46,12.08509
47,12.039951
48,11.991875
49,11.947492
50,11.90359
51,11.857844
52,11.8159685
53,11.774662
54,11.731318
55,11.692003
56,11.653322
57,11.613418
58,11.577465
59,11.542074
60,11.504264
61,11.470388
62,11.437075
63,11.402293
64,11.371436
65,11.341084
66,11.308989
67,11.280758
68,11.252982
69,11.223854
70,11.198539
71,11.173611
72,11.147227
73,11.124445
74,11.101936
75,11.077836
76,11.057215
77,11.036785
78,11.01513
79,10.996855
80,10.978706
81,10.95927
82,10.943039
83,10.926856
84,10.909243
85,10.894664
86,10.880093
87,10.864452
88,10.851605
89,10.838693
90,10.824367
91,10.812756
92,10.80112
93,10.788026
94,10.777526
95,10.767006
96,10.755395
97,10.746176
98,10.7368765
99,10.726367
100,10.7181
101,10.709743
102,10.70044
103,10.693225
104,10.685895
105,10.677603
106,10.67127
107,10.664798
108,10.657386
109,10.651794
110,10.64604
111,10.639221
112,10.634109
113,10.628838
114,10.622236
115,10.617329
116,10.612335
117,10.606433
118,10.602102
119,10.597654
120,10.592059
121,10.587878
122,10.583582
123,10.578448
124,10.574629
125,10.570683
126,10.565641
127,10.56196
128,10.558225
129,10.553738
130,10.550537
131,10.547269
132,10.542608
133,10.539252
134,10.535894
135,10.5319195
136,10.52908
137,10.526172
138,10.521834
139,10.518671
140,10.515518
141,10.511808
142,10.509062
143,10.506232
144,10.502772
145,10.500311
146,10.497782
147,10.494556
148,10.492263
149,10.489896
150,10.48681
151,10.484675
152,10.482486
153,10.479382
154,10.47718
155,10.474928
156,10.471761
157,10.469518
158,10.467246
159,10.464312
160,10.46216
161,10.459921
162,10.456836
163,10.454549
164,10.452189
165,10.448759
166,10.446183
167,10.443587
168,10.440189
169,10.437584
170,10.434925
171,10.43161
172,10.428997
173,10.42628
174,10.42251
175,10.419579
176,10.416624
177,10.41254
178,10.409321
179,10.406101
180,10.401862
181,10.398434
182,10.39498
183,10.390471
184,10.38678
185,10.383077
186,10.378208
187,10.374176
188,10.370143
189,10.365113
190,10.360848
191,10.356535
192,10.350821
193,10.346032
194,10.341279
195,10.335251
196,10.330132
197,10.325027
198,10.318616
199,10.313154
200,10.307719
201,10.300835
202,10.294924
203,10.289032
204,10.28166
205,10.275361
206,10.269122
207,10.261284
208,10.254682
209,10.248216
210,10.240291
211,10.233697
212,10.227265
213,10.219463
214,10.213101
215,10.20694
216,10.199459
217,10.193628
218,10.188062
219,10.18108
220,10.17591
221,10.17102
222,10.164547
223,10.159996
224,10.155695
225,10.150141
226,10.146449
227,10.142855
228,10.137464
229,10.134096
230,10.13081
231,10.126084
232,10.123301
233,10.120429
234,10.115456
235,10.11261
236,10.109704
237,10.104439
238,10.101518
239,10.09859
240,10.09249
241,10.089184
242,10.086077
243,10.081958
244,10.080073
245,10.077958
246,10.07299
247,10.070758
248,10.068538
249,10.064011
250,10.062209
251,10.060387
252,10.055438
253,10.053568
254,10.051867
255,10.047158
256,10.045633
257,10.044277
258,10.040053
259,10.039027
260,10.038141
261,10.033938
262,10.033099
263,10.032466
264,10.028655
265,10.028204
