,0
0,14.414606
1,14.333525
2,14.247296
3,14.163759
4,14.073035
5,13.985779
6,13.911247
7,13.837092
8,13.769526
9,13.711974
10,13.653006
11,13.597233
12,13.547939
13,13.496368
14,13.446695
15,13.402133
16,13.3552065
17,13.309582
18,13.268161
19,13.224221
20,13.181015
21,13.141155
22,13.098569
23,13.05623
24,13.016591
25,12.974079
26,12.931482
27,12.891171
28,12.847939
29,12.804451
30,12.763071
31,12.718817
32,12.674266
33,12.631744
34,12.586469
35,12.54095
36,12.497485
37,12.45144
38,12.405261
39,12.361179
40,12.31472
41,12.268271
42,12.223971
43,12.177499
44,12.131183
45,12.087106
46,12.0410385
47,11.995263
48,11.951816
49,11.906541
50,11.861654
51,11.819107
52,11.774877
53,11.731107
54,11.68966
55,11.646649
56,11.604139
57,11.5639
58,11.522191
59,11.481009
